"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 15 02:27:22 UTC 2023","Wed Nov 15 02:27:47 UTC 2023","24462","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","5. Navigate to Build Your Portfolio from Investment Choice",""
"passed","Wed Nov 15 03:37:18 UTC 2023","Wed Nov 15 03:37:31 UTC 2023","12614","","12. Client Portal - Forms","","","","1. Direct user to “Forms” page",""
"passed","Wed Nov 15 02:35:58 UTC 2023","Wed Nov 15 02:35:58 UTC 2023","206","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","8. Navigate to Insurance Quote",""
"passed","Wed Nov 15 02:26:59 UTC 2023","Wed Nov 15 02:27:22 UTC 2023","23103","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","3. Create new Individual investment account",""
"passed","Wed Nov 15 05:14:07 UTC 2023","Wed Nov 15 05:14:10 UTC 2023","2911","","23. Change Portfolio for Interactive Brokers","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Wed Nov 15 02:40:04 UTC 2023","Wed Nov 15 02:40:07 UTC 2023","2897","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"passed","Wed Nov 15 02:50:03 UTC 2023","Wed Nov 15 02:50:04 UTC 2023","1418","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Wed Nov 15 04:47:22 UTC 2023","Wed Nov 15 04:47:27 UTC 2023","4850","","22. Individual Onboarding for Interactive Brokers","","","","11. Complete Compliance",""
"passed","Wed Nov 15 02:28:34 UTC 2023","Wed Nov 15 02:28:45 UTC 2023","11253","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","9. Navigate to Risk Profile",""
"passed","Wed Nov 15 04:04:34 UTC 2023","Wed Nov 15 04:04:37 UTC 2023","2638","","16. Nucleus Wealth Wordpress Site","","","","3. Visit Ethical Investing",""
"passed","Wed Nov 15 02:30:32 UTC 2023","Wed Nov 15 02:30:38 UTC 2023","5780","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","13. Complete Bank Details",""
"passed","Wed Nov 15 03:35:07 UTC 2023","Wed Nov 15 03:35:20 UTC 2023","12596","","11. Client Portal - Administration","","","","1. Direct user to “Administration” page",""
"passed","Wed Nov 15 04:47:18 UTC 2023","Wed Nov 15 04:47:22 UTC 2023","3488","","22. Individual Onboarding for Interactive Brokers","","","","10. Complete Bank Details",""
"passed","Wed Nov 15 02:40:07 UTC 2023","Wed Nov 15 02:40:07 UTC 2023","410","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Wed Nov 15 04:07:48 UTC 2023","Wed Nov 15 04:08:06 UTC 2023","17606","","17.0 Create Test User on Live Portal","","","","2. Subscribe to Nucleus Wealth mailing list",""
"passed","Wed Nov 15 04:22:27 UTC 2023","Wed Nov 15 04:22:40 UTC 2023","13501","","19. Look Up Investment Account","","","","1. Log in using manager login",""
"passed","Wed Nov 15 04:04:39 UTC 2023","Wed Nov 15 04:04:42 UTC 2023","2729","","16. Nucleus Wealth Wordpress Site","","","","5. Visit Direct Indexing",""
"passed","Wed Nov 15 04:45:33 UTC 2023","Wed Nov 15 04:45:37 UTC 2023","3521","","22. Individual Onboarding for Interactive Brokers","","","","6. Complete Build Your Portfolio",""
"passed","Wed Nov 15 02:50:04 UTC 2023","Wed Nov 15 02:50:23 UTC 2023","19330","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","7. Complete In Trust Details",""
"passed","Wed Nov 15 03:31:57 UTC 2023","Wed Nov 15 03:31:58 UTC 2023","1356","","10. Client Portal - Account Dashboard","","","","8. Expand Performance",""
"passed","Wed Nov 15 04:13:18 UTC 2023","Wed Nov 15 04:14:05 UTC 2023","47103","","17.2 Create Test User on Live Portal","","","","6. Create a new user for Macro business",""
"passed","Wed Nov 15 04:46:08 UTC 2023","Wed Nov 15 04:47:18 UTC 2023","70271","","22. Individual Onboarding for Interactive Brokers","","","","9. Complete Applicants",""
"passed","Wed Nov 15 02:38:00 UTC 2023","Wed Nov 15 02:38:08 UTC 2023","7561","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","2. Create a SMSF Account",""
